hitlnk_name,scraper,category,left,phoneblock,hitlnk_freecall_plus,hitlnk_times,free_ratio src,hitlnk_rate,hitlnk_rate 2,hitlnk_ratelayer,button 2,button 3,button 4,button 5,button 7,hitlnk_freecall,textblue,hitlnk_seal src,mailto,tel,href
A. Adjili - Allgemeinmedizin und Neurochirurgie,https://www.dasoertliche.de/?form_name=detail&id=0027095256182574889179&recuid=XPA4GB42C2AJLYP2G4RUEQ5FHY6QGKAMZ4RT2WYWCIJYMAQ&niceid=A-Adjili-Allgemeinmedizin-und-Neurochirurgie-Aschaffenburg-Strietwald-Bussardweg&buc=27&showbuc=0&verlNr=122&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=0,Fachärzte für Allgemeinmedizin,"Bussardweg 52
							
							
						
						 
                        	63741 Aschaffenburg, Strietwald",Tel. 06021 42 15 73,Gratis anrufen!,Geöffnet bis 12:30 Uhr,https://ies.v4all.de/0122/OETB/0122/5/0195/70350195_220x130px.png,1  Bewertung,1,Jetzt bewerten!,Termin anfragen,2,E-Mail,Website,Freimonat für Digitalpaket,,,,praxisadjili@gmx.de,+496021421573,"http://www.muellerverlag.de  rel=""nofollow""
                       onclick="""
A - B - C Alle Zahnärzte am Limbecker Platz,https://www.dasoertliche.de/?form_name=detail&id=2242009645101568757417&recuid=KYS57LIA6FSHMCDWRDLOJR4FC7R2ZWPSSJLYRTWQTC7WYAQ&niceid=A-B-C-Alle-Zahn%C3%A4rzte-am-Limbecker-Platz-Essen-Stadtkern-Limbecker-Platz&buc=2242&showbuc=0&verlNr=161&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=1,Akupunktur,"Limbecker Platz 5-6
							
							
						
						 
                        	45127 Essen, Stadtkern",Tel. 0201 23 32 22,,Geöffnet bis 19:00 Uhr,,157  Bewertungen (+ 69 weitere),1,Jetzt bewerten!,Termin anfragen,2,E-Mail,Website,,Gratis anrufen!,,,drthomasherold@yahoo.de,+49201233222,
"A Cura MVZ GmbH Zahnzentrum Bad Oeynhausen Dres. Püttmann,  Negrea, Sag",https://www.dasoertliche.de/?form_name=detail&id=0322935571519561754852&recuid=ASQJWRDDRXQSJY3RD6GHPBYTBVPJKEG3CYFB7BDYYAN2W7ABAI&niceid=A-Cura-MVZ-GmbH-Zahnzentrum-Bad-Oeynhausen-Dres-P%C3%BCttmann-Negrea-Sag-Bad-Oeynhausen-Innenstadt-Bahnhofstr&buc=322&showbuc=0&verlNr=1132&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=2,Zahnärzte,"Bahnhofstr. 21
							
							
						
						 
                        	32545 Bad Oeynhausen, Innenstadt",Tel. 05731 86 99 50,Gratis anrufen!,Geöffnet bis 12:30 Uhr,https://102m.de/02/1132/0322/522101/I_522101_P_935571519_T_0002892729_1.jpg,42  Bewertungen,1,Jetzt bewerten!,Termin anfragen,2,E-Mail,Website,,,*,https://www.dasoertliche.de/img/MM_siegel.png,info@zahnzentrum-bad-oeynhausen.de,+495731869950,http://www.zahnzentrum-bo.de
"A Cura MVZ GmbH Zahnzentrum Bad Oeynhausen Dres. Püttmann,  Negrea, Sag",https://www.dasoertliche.de/?form_name=detail&id=0454935571523561754979&recuid=RPW5NSZOAKWKXLX6FZJXU2LTQYJRUXKULOCS4CZPKYXUWZMDAI&niceid=A-Cura-MVZ-GmbH-Zahnzentrum-Bad-Oeynhausen-Dres-P%C3%BCttmann-Negrea-Sag-Bad-Oeynhausen-Innenstadt-Bahnhofstr&buc=454&showbuc=0&verlNr=1132&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=3,Zahnärzte,"Bahnhofstr. 21
							
							
						
						 
                        	32545 Bad Oeynhausen, Innenstadt",Tel. 05731 86 99 50,Gratis anrufen!,Geöffnet bis 12:30 Uhr,https://102m.de/02/1132/0454/573201/I_522101_P_935571519_T_0002892729_1.jpg,42  Bewertungen,1,Jetzt bewerten!,Termin anfragen,2,E-Mail,Website,,,*,https://www.dasoertliche.de/img/MM_siegel.png,info@zahnzentrum-bad-oeynhausen.de,+495731869950,http://www.zahnzentrum-bo.de
"A Cura MVZ GmbH Zahnzentrum Bad Oeynhausen Dres. Püttmann,  Negrea, Sag",https://www.dasoertliche.de/?form_name=detail&id=0058935571518561754564&recuid=5JBHTKUBMMB4UAM77QBJOLEZ5O6HX4RV6TSPY2WGPHXWPRXLAI&niceid=A-Cura-MVZ-GmbH-Zahnzentrum-Bad-Oeynhausen-Dres-P%C3%BCttmann-Negrea-Sag-Bad-Oeynhausen-Innenstadt-Bahnhofstr&buc=58&showbuc=0&verlNr=1132&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=4,Zahnärzte,"Bahnhofstr. 21
							
							
						
						 
                        	32545 Bad Oeynhausen, Innenstadt",Tel. 05731 86 99 50,Gratis anrufen!,Geöffnet bis 12:30 Uhr,https://102m.de/02/1132/0058/573101/I_573101_P_935571518_T_0002892729_1.jpg,42  Bewertungen,1,Jetzt bewerten!,Termin anfragen,2,E-Mail,Website,,,,https://www.dasoertliche.de/img/MM_siegel.png,info@zahnzentrum-bad-oeynhausen.de,+495731869950,http://www.zahnzentrum-bo.de
"A Cura MVZ GmbH Zahnzentrum Bad Oeynhausen Dres. Püttmann,  Negrea, Sag",https://www.dasoertliche.de/?form_name=detail&id=0064935571520561754570&recuid=EIWRMYXOVNWAE3SX5XBPLUO4EPJ3HHP5TMWO3IXO5LT73PBDAI&niceid=A-Cura-MVZ-GmbH-Zahnzentrum-Bad-Oeynhausen-Dres-P%C3%BCttmann-Negrea-Sag-Bad-Oeynhausen-Innenstadt-Bahnhofstr&buc=64&showbuc=0&verlNr=1132&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=5,Zahnärzte,"Bahnhofstr. 21
							
							
						
						 
                        	32545 Bad Oeynhausen, Innenstadt",Tel. 05731 86 99 50,Gratis anrufen!,Geöffnet bis 12:30 Uhr,https://102m.de/02/1132/0064/522201/I_522101_P_935571519_T_0002892729_1.jpg,42  Bewertungen,1,Jetzt bewerten!,Termin anfragen,2,E-Mail,Website,,,*,https://www.dasoertliche.de/img/MM_siegel.png,info@zahnzentrum-bad-oeynhausen.de,+495731869950,http://www.zahnzentrum-bo.de
"A Cura MVZ GmbH Zahnzentrum Bad Oeynhausen Dres. Püttmann,  Negrea, Sag",https://www.dasoertliche.de/?form_name=detail&id=0728935571522561755237&recuid=VAISV2GSEFIIQUW52NUNSF4KXXXTTILXU6TNGKHOHKJWTZVEAI&niceid=A-Cura-MVZ-GmbH-Zahnzentrum-Bad-Oeynhausen-Dres-P%C3%BCttmann-Negrea-Sag-Bad-Oeynhausen-Innenstadt-Bahnhofstr&buc=728&showbuc=0&verlNr=1132&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=6,Zahnärzte,"Bahnhofstr. 21
							
							
						
						 
                        	32545 Bad Oeynhausen, Innenstadt",Tel. 05731 86 99 50,Gratis anrufen!,Geöffnet bis 12:30 Uhr,https://102m.de/02/1132/0728/573301/I_522101_P_935571519_T_0002892729_1.jpg,42  Bewertungen,1,Jetzt bewerten!,Termin anfragen,2,E-Mail,Website,,,*,https://www.dasoertliche.de/img/MM_siegel.png,info@zahnzentrum-bad-oeynhausen.de,+495731869950,http://www.zahnzentrum-bo.de
"A Cura MVZ GmbH Zahnzentrum Bad Oeynhausen Dres. Püttmann,  Negrea, Sag",https://www.dasoertliche.de/?form_name=detail&id=0891935571521561755376&recuid=S7U5FVZKD2ULPKXCFBVWWSYTRYLQMWKIL6MSQVYHHVEAOA4YAI&niceid=A-Cura-MVZ-GmbH-Zahnzentrum-Bad-Oeynhausen-Dres-P%C3%BCttmann-Negrea-Sag-Bad-Oeynhausen-Innenstadt-Bahnhofstr&buc=891&showbuc=0&verlNr=1132&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=7,Zahnärzte,"Bahnhofstr. 21
							
							
						
						 
                        	32545 Bad Oeynhausen, Innenstadt",Tel. 05731 86 99 50,Gratis anrufen!,Geöffnet bis 12:30 Uhr,https://102m.de/02/1132/0891/522102/I_522101_P_935571519_T_0002892729_1.jpg,42  Bewertungen,1,Jetzt bewerten!,Termin anfragen,2,E-Mail,Website,,,*,https://www.dasoertliche.de/img/MM_siegel.png,info@zahnzentrum-bad-oeynhausen.de,+495731869950,http://www.zahnzentrum-bo.de
A. Drechsel Dr. Allgemeinarztpraxis,https://www.dasoertliche.de/?form_name=detail&id=2321087224555552605896&recuid=OR6HQIJKEU6VUXBQS7A23KF2G6I3BUEMZN24REWNYPTU4AQ&niceid=A-Drechsel-Dr-Allgemeinarztpraxis-Lichtentanne-Ebersbrunn-Bahnhofsberg&buc=2321&showbuc=0&verlNr=233&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=8,Fachärzte für Allgemeinmedizin,"Bahnhofsberg 6
							
							
						
						 
                        	08115 Lichtentanne, Ebersbrunn",Tel. 037607 63 97,,,,2  Bewertungen,1,Jetzt bewerten!,,,,,Freimonat für Digitalpaket,Gratis anrufen!,,,n@def.omfcthkdbwca.bd,+49376076397,
A. Eichelbaum Dr.med. u. L. Lange Dipl.-Med. u P.Knorre Dr.Med Gemeinschaftspraxis für Gynäkologie,https://www.dasoertliche.de/?form_name=detail&id=1089200551395563574907&recuid=RUZL77BZY5Z2GEWI2FTJORXLSKDHDM3IQWGNCOX5HTNSJHU6AI&niceid=A-Eichelbaum-Dr-med-u-L-Lange-Dipl-Med-u-P-Knorre-Dr-Med-Gemeinschaftspraxis-f%C3%BCr-Gyn%C3%A4kologie-Frankfurt-Oder-Am-Kleistpark&buc=1089&showbuc=0&verlNr=240&kw=arzt&recFrom=1&pagePos=1&lastFormName=search_nat&hitno=9,Fachärzte für Frauenheilkunde und Geburtshilfe,"Am Kleistpark 1
							
							
						
						 
                        	15230 Frankfurt (Oder)",Tel. 0335 53 31 08,,Geöffnet bis 18:00 Uhr,,2  Bewertungen,1,Jetzt bewerten!,Terminservice,2,,Website,,Gratis anrufen!,,,n@def.omfcthkdbwca.bd,+49335533108,
